station_id,station_name,state_id,lat,lon,elevation_m
A1074,Canyonlands NP,UT,38.4583,-109.8211,1794.0528000000002
A1622,Ouray,UT,40.05485,-109.68737,1467.0024
A4580,James Town Mobile,WY,41.55643,-109.53044,1859.5848
AMB2115,AIRQ_2828,UT,40.58745,-111.86031,
MTMET,U of U Mountain Met Lab,UT,40.766573,-111.828211,1522.7808
QNW,Washakie Reservation,UT,41.94467,-112.23377,1371.6000000000001
QUURB,UofU Red Butte,UT,40.76652,-111.82836,1522.7808
UUSYR,Syracuse,UT,41.08847,-112.1188,1285.3416
