station_id,station_name,state_id,lat,lon,elevation_m
A1038,CORBIN,VA,38.20087,-77.37742,70.104
A1046,Lassen Volcanic NP,CA,40.5403,-121.5764,1763.8776
A1051,DETROIT - E 7 MILE,MI,42.4308,-83.0008,192.9384
A1055,TECUMSEH,MI,41.9956,-83.9467,248.1072
A1058,Grand Teton NP - Science School,WY,43.67083,-110.5994,2124.1512000000002
A1059,DETROIT - SOUTHWEST,MI,42.3042,-83.1072,178.91760000000002
A1064,GRAND RAPIDS,MI,42.9847,-85.6711,188.976
A1069,COLOMA,MI,42.1978,-86.3097,195.9864
A1076,HOUGHTON LAKE,MI,44.3106,-84.8919,345.03360000000004
A1077,CASSOPOLIS,MI,41.8956,-86.0017,270.9672
A1080,ALLEN PARK,MI,42.2283,-83.2092,182.88
A1081,Zion NP,UT,37.1983,-113.1506,1214.0184000000002
A1083,NEW HAVEN,MI,42.7314,-82.7936,189.8904
A1090,WAIKOLOA,HI,19.97747,-155.79807,181.05120000000002
A1092,Colville-E 1st St,WA,48.54469,-117.90322,492.8616
A1093,Neah Bay 2-Makah Tribe,WA,48.36606,-124.61005,3.9624
A1112,Hammond-141st St,IN,41.6394,-87.4936,178.91760000000002
A1123,South Pass,WY,42.5275,-108.7203,2527.0968000000003
A1130,Forest Park,MO,38.63106,-90.28114,159.1056
A1140,Palo Duro,TX,34.8803,-101.6649,1057.9608
A1141,Wenatchee-Fifth St,WA,47.43061,-120.34195,246.888
A1145,Harlingen Teege C1023,TX,26.20028,-97.7125,15.8496
A1152,Eagle Pass C319,TX,28.70461,-100.45116,252.984
A1153,Alabama-Coushatta,TX,30.6681,-94.6739,86.86800000000001
A1170,Madison-Beach Road,CT,41.2569,-72.55322,2.1336
A1181,Tulsa,OK,36.2067,-95.9764,198.12
A1184,Minneapolis-Near Road,MN,44.9653,-93.2551,253.8984
A1273,Temple Georgia C1045,TX,31.12253,-97.43116,191.1096
A1281,NCore - White Mountain Research Station - OVL,CA,37.3607,-118.33084,1235.0496
A1303,Toll,NV,39.39984,-119.73961,1392.9360000000001
A1322,Pocatello Garrett and Gould,ID,42.8767,-112.4603,1360.932
A1352,Yuma Supersite,AZ,32.69028,-114.61444,59.1312
A1367,Pinnacle Peak Club House,AZ,33.7123,-111.8527,726.0336000000001
A1386,Whiterocks,UT,40.4838,-109.9062,1894.9416
A1388,Myton,UT,40.2169,-110.1823,1606.9056
A1478,Alamo Lake,AZ,34.24389,-113.55861,391.9728
A1622,Ouray,UT,40.05485,-109.68737,1467.0024
A1633,Redwash,UT,40.20443,-109.35321,1701.0888
A1660,ROLAND,OK,35.40814,-94.52441,142.9512
A1683,Rider Trail I-70,MO,38.75264,-90.44884,155.1432
A1848,Howard County Near Road,MD,39.1432,-76.84619,89.91600000000001
A1961,Lostwood NWR,ND,48.6419,-102.4022,687.9336000000001
A2065,Hillcrest HS,MO,37.25607,-93.29969,377.952
A2068,Boundary County,ID,48.70555,-116.36897,538.8864
A2143,Tacoma-S 36th St,WA,47.22634,-122.46256,104.8512
A2159,ROCKWELL,NC,35.5519,-80.395,231.03840000000002
A2160,Baltimore County Near Road,MD,39.37168,-76.74681,128.93040000000002
A2208,Lewiston,ID,46.4085,-116.9914,284.0736
A2246,Moscow,ID,46.7282,-116.9546,794.9184
A2340,JOANBOLD,NC,35.2578,-83.7955,1417.0152
A2642,G.T.Craig,OH,41.49219,-81.67855,203.9112
A2668,Lubbock 12th Street,TX,33.5853,-101.78698,978.1032
A2679,Del Norte,NM,35.1353,-106.5847,1590.1416000000002
A2707,Baytown Garth C1017,TX,29.82332,-94.98379,14.9352
A2741,Plummer,IN,38.9856,-86.99,163.9824
A2757,Casino Center,NV,36.17437,-115.13977,616.9152
A2823,Bismarck Residential,ND,46.8253,-100.7681,579.12
A2961,Palm Springs - Fire Station,CA,33.85261,-116.54097,174.04080000000002
A3147,Ute 1,CO,37.13678,-107.62863,1993.0872000000002
A3282,Dysart,AZ,33.6369,-112.3394,359.96880000000004
A3331,MATH & SCIENCE CTR,VA,37.55652,-77.40027,50.9016
A3371,Joe Neal,NV,36.27059,-115.23828,708.9648000000001
A3404,Jean,NV,35.78567,-115.35709,922.9344000000001
A3434,Sunrise Acres,NV,36.16396,-115.11393,565.0992
A3476,Greenwich,CT,41.0036,-73.5853,2.1336
A3511,Westport,CT,41.1189,-73.3369,2.1336
A3563,Waterbury,CT,41.5503,-73.0442,85.95360000000001
A3576,Lee Vining,CA,37.96207,-119.12028,2058.0096000000003
A3586,Columbia Falls,MT,48.36369,-114.18927,926.8968000000001
A3610,Sebastopol,CA,38.40377,-122.81829,21.031200000000002
A3615,CARPENTER,IA,41.6031,-93.6433,281.0256
A3625,SEAFORD,DE,38.6444,-75.6131,9.144
A3630,Jackson NCORE,MS,32.32911,-90.18272,103.0224
A3631,DCNearRoad,DC,38.89475,-76.95343,10.972800000000001
A3632,Seeley Elementary School,MT,47.17563,-113.47618,1232.9160000000002
A3647,Lewistown,MT,47.04854,-109.45532,1259.1288
A3648,7004,CO,37.20586,-107.25412,2026.0056000000002
A3649,Burbank-Maple Street,WA,46.2001,-119.0084,110.94720000000001
A3650,Great Falls Overlook Park,MT,47.49432,-111.30332,1019.8608
A3653,Preble County,OH,39.83562,-84.72049,352.04400000000004
A3658,Butte Greely School,MT,46.0024,-112.50089,1677.924
A3659,Remount,NC,35.21317,-80.87408,198.12
A3661,Libby Courthouse,MT,48.3841,-115.548,637.032
A3665,Buckeye,AZ,33.37,-112.6207,264.8712
A3672,Bar Harbor - Cadillac Mtn.,ME,44.35167,-68.22722,455.06640000000004
A3673,Paw Park,FL,27.3503,-82.4797,10.972800000000001
A3676,Bayonne,NJ,40.67025,-74.12608,2.1336
A3679,Ute 3,CO,37.10258,-107.87022,1944.0144
A3687,PASCAGOULA,MS,30.3775,-88.5339,6.096
A3688,NO. BHAM,AL,33.5531,-86.815,178.91760000000002
A3691,West Yellowstone Park Ent #2,MT,44.65701,-111.08962,2040.9408
A3693,Senior Center,AZ,33.4883,-111.855,378.8664
A3700,WAVELAND,MS,30.3008,-89.3958,7.9248
A3726,MENDNHAL,NC,36.1092,-79.8011,248.1072
A3730,POMPANO_BEACH,FL,26.2906,-80.0969,7.010400000000001
A3752,SYDNEY,FL,27.9659,-82.23062,31.0896
A3754,John A. Chesnut Sr. Park,FL,28.0903,-82.7008,10.0584
A3760,Mammoth Cave NP,KY,37.1314,-86.1481,235.0008
