station_id,station_name,state_id,lat,lon,elevation_m
A1064,GRAND RAPIDS,,42.9847,-85.6711,188.976
A1181,Tulsa,,36.2067,-95.9764,198.12
A1184,Minneapolis-Near Road,,44.9653,-93.2551,253.8984
A3610,Sebastopol,,38.40377,-122.81829,21.031200000000002
A3805,Portland - SE Lafayette,,45.496641,-122.602877,70.104
A4536,Oakland,,37.74306,-122.16991,10.972800000000001
A4543,Redwood City,,37.4828,-122.2022,3.9624
AMB101,AIRQ_10458,,45.44875,-122.62391,
AMB1206,AIRQ_1962,,33.91333,-118.3566,
AMB157,AIRQ_10807,,38.87766,-77.11227,
AMB1672,AIRQ_2413,,40.01557,-74.32073,
AMB1683,AIRQ_2423,,25.84908,-80.27014,
AMB17,AIRQ_10033,,36.09326,-115.20835,
AMB1807,AIRQ_2536,,40.73452,-73.89224,
AMB1874,AIRQ_2599,,37.9622,-121.27369,
AMB1912,AIRQ_2632,,36.12888,-115.24454,
AMB1920,AIRQ_2640,,32.61839,-96.82592,
AMB1964,AIRQ_2682,,34.02016,-118.33768,
AMB1968,AIRQ_2686,,35.1442,-106.52041,
AMB1975,AIRQ_2692,,39.77202,-121.87439,
AMB2033,AIRQ_2752,,34.21889,-118.61252,
AMB2054,AIRQ_2773,,40.15309,-74.25433,
AMB2066,AIRQ_2784,,38.83685,-76.98808,
AMB2081,AIRQ_2798,,37.61857,-122.07223,
AMB2165,AIRQ_2873,,32.59531,-117.03773,
AMB2207,AIRQ_2912,,27.76937,-80.48483,
AMB2226,AIRQ_2931,,25.86659,-80.22283,
AMB2239,AIRQ_2943,,39.01632,-95.76012,
AMB2407,AIRQ_3103,,41.68854,-87.78813,
AMB2564,AIRQ_3245,,61.19788,-149.89069,
AMB2569,AIRQ_3250,,34.18063,-118.29975,
AMB28,AIRQ_10056,,34.06299,-117.70738,
AMB281,AIRQ_11636,,41.55432,-72.98911,
AMB3011,AIRQ_3665,,26.15616,-80.27066,
AMB3036,AIRQ_3690,,29.98748,-95.16691,
AMB305,AIRQ_11752,,36.09762,-79.82714,
AMB31,AIRQ_10064,,39.22066,-76.89108,
AMB33,AIRQ_10071,,42.6257,-83.15951,
AMB380,AIRQ_12087,,39.93041,-85.36927,
AMB385,AIRQ_12091,,39.63617,-84.1466,
AMB386,AIRQ_12093,,40.65696,-75.32267,
AMB44,AIRQ_10124,,34.04534,-118.28524,
AMB4669,AIRQ_5580,,42.27384,-72.67164,
AMB4753,AIRQ_5697,,37.08064,-76.48602,
AMB4773,AIRQ_5721,,36.07252,-115.18944,
AMB4786,AIRQ_5743,,41.97099,-91.77148,
AMB4800,AIRQ_5761,,45.60927,-122.56874,
AMB4877,AIRQ_5843,,39.74081,-75.35516,
AMB4887,AIRQ_5852,,34.2281,-118.66687,
AMB4888,AIRQ_5854,,47.6783,-117.0873,
AMB4892,AIRQ_5863,,44.95742,-93.02483,
AMB4915,AIRQ_5897,,37.92476,-121.72332,
AMB4967,AIRQ_6016,,40.32345,-75.62624,
