station_id,station_name,state_id,lat,lon,elevation_m
A1038,CORBIN,VA,38.20087,-77.37742,70.104
A1039,BAY CITY,MI,43.5714,-83.8908,181.05120000000002
A1041,DEARBORN,MI,42.3075,-83.15,178.91760000000002
A1042,SCOTTVILLE,MI,43.9533,-86.2944,209.0928
A1044,Pinnacles NM,CA,36.485,-121.1556,309.0672
A1045,EVANS,MI,43.1767,-85.4167,273.1008
A1046,Lassen Volcanic NP,CA,40.5403,-121.5764,1763.8776
A1047,PORT HURON,MI,42.9533,-82.4564,185.928
A1048,SENEY,MI,46.2889,-85.9503,212.1408
A1049,HARBOR BEACH,MI,43.8364,-82.6431,181.05120000000002
A1051,DETROIT - E 7 MILE,MI,42.4308,-83.0008,192.9384
A1052,KALAMAZOO,MI,42.2781,-85.5419,237.1344
A1055,TECUMSEH,MI,41.9956,-83.9467,248.1072
A1058,Grand Teton NP - Science School,WY,43.67083,-110.5994,2124.1512000000002
A1059,DETROIT - SOUTHWEST,MI,42.3042,-83.1072,178.91760000000002
A1060,MANISTEE,MI,44.3069,-86.2428,224.02800000000002
A1064,GRAND RAPIDS,MI,42.9847,-85.6711,188.976
A1065,YPSILANTI,MI,42.24,-83.5997,231.95280000000002
A1068,JENISON,MI,42.8944,-85.8528,195.9864
A1069,COLOMA,MI,42.1978,-86.3097,195.9864
A1071,Mesa Verde NP,CO,37.1983,-108.4903,2165.9088
A1073,OTISVILLE,MI,43.1683,-83.4617,256.03200000000004
A1074,Canyonlands NP,UT,38.4583,-109.8211,1794.0528000000002
A1076,HOUGHTON LAKE,MI,44.3106,-84.8919,345.03360000000004
A1077,CASSOPOLIS,MI,41.8956,-86.0017,270.9672
A1080,ALLEN PARK,MI,42.2283,-83.2092,182.88
A1081,Zion NP,UT,37.1983,-113.1506,1214.0184000000002
A1082,HOLLAND,MI,42.7678,-86.1486,193.8528
A1083,NEW HAVEN,MI,42.7314,-82.7936,189.8904
A1084,MUSKEGON,MI,43.2781,-86.3111,193.8528
A1085,OAK PARK,MI,42.4631,-83.1833,203.9112
A1086,Eliza Howell- Roadway,MI,42.38599,-83.26632,188.976
A1088,Kennewick-Metaline,WA,46.2183,-119.2015,156.0576
A1090,WAIKOLOA,HI,19.97747,-155.79807,181.05120000000002
A1092,Colville-E 1st St,WA,48.54469,-117.90322,492.8616
A1093,Neah Bay 2-Makah Tribe,WA,48.36606,-124.61005,3.9624
A1094,Omak-Colville Tribe,WA,48.39999,-119.51896,259.99440000000004
A1109,Potosi,WI,42.69213,-90.69637,296.8752
A1110,Eau Claire,WI,44.7614,-91.413,277.9776
A1112,Hammond-141st St,IN,41.6394,-87.4936,178.91760000000002
A1113,Indpls-Harding St,IN,39.7489,-86.1861,209.0928
A1123,South Pass,WY,42.5275,-108.7203,2527.0968000000003
A1130,Forest Park,MO,38.63106,-90.28114,159.1056
A1138,Casper Gaseous,WY,42.82231,-106.36501,1588.9224000000002
A1140,Palo Duro,TX,34.8803,-101.6649,1057.9608
A1141,Wenatchee-Fifth St,WA,47.43061,-120.34195,246.888
A1145,Harlingen Teege C1023,TX,26.20028,-97.7125,15.8496
A1152,Eagle Pass C319,TX,28.70461,-100.45116,252.984
A1153,Alabama-Coushatta,TX,30.6681,-94.6739,86.86800000000001
A1155,Crockett,KY,37.9214,-83.0662,376.1232
A1158,Larwill,IN,41.16972,-85.62944,284.988
A1164,"Muscatine, High School East Campus",IA,41.4014,-91.0684,167.94480000000001
A1168,UNIONCROSS,NC,36.0508,-80.1439,284.0736
A1170,Madison-Beach Road,CT,41.2569,-72.55322,2.1336
A1181,Tulsa,OK,36.2067,-95.9764,198.12
