size,runs,total_p50_s,total_p95_s,total_q25_s,total_q75_s,detect_p50_s,discover_p50_s,select_p50_s,total_p50_ci_lo_s,total_p50_ci_hi_s,total_p95_ci_lo_s,total_p95_ci_hi_s,delta_p50_vs_prev_pct,delta_p95_vs_prev_pct
8,70,0.183817,0.22485525,0.1794625,0.196428,0.11732200000000001,0.0566425,0.0001175,0.18094480000000002,0.1876,0.20365315,0.238152,,
200,70,8.322039,9.038699099999999,8.048365,8.604557,7.494409,0.1148315,0.40185800000000005,8.166033087499999,8.476418,8.8267437,9.192982,4427.350027472976,3919.7856621092897
681,70,9.49605,11.755219,8.8112985,10.414810500000002,7.533085,0.2702245,1.4059165,9.2657815,9.979408,10.984552549999998,12.211214,14.107251840564562,30.0543238572905
1000,70,10.352313500000001,13.61634775,9.31394775,11.88164525,7.548421,0.3854435,2.063448,10.089548,10.83264275,12.770801399999998,14.676441,9.017049194138615,15.832361353710201
2365,70,13.661468,21.689266699999997,11.1862595,16.807421,7.5834945000000005,0.727763,5.051506,12.883947,15.158072512499999,19.049156149999998,23.485554,31.965362138617603,59.28843106992474
