size,runs,total_mean_s,total_std_s,total_p50_s,total_p75_s,total_p90_s,total_p95_s,total_p99_s
8,70,0.19281975714285712,0.03540901350481085,0.183817,0.196428,0.210567,0.22485525,0.3079004500000005
200,70,8.370215914285716,0.3709889458309561,8.322039,8.604557,8.856296,9.038699099999999,9.26005329
681,70,9.7221341,1.0886329222429143,9.49605,10.414810500000002,11.253439,11.755219,12.33189948
1000,70,10.675147771428572,1.5980037356408074,10.352313500000001,11.88164525,13.131127900000001,13.61634775,14.73105742
2365,70,14.464491800000001,3.8874430057415137,13.661468,16.807421,19.957315100000002,21.689266699999997,23.81985273
